Title,Rating,Reviews,,,Address,Website,Latitude,Longitude,Google Maps Link
RCBC ATM - Vanilla Beach,1.9,11,,,8877 7222,https://www.rcbc.com/,11.1469618,119.3989878,https://www.google.com/maps/place/RCBC+ATM+-+Vanilla+Beach/data=!4m7!3m6!1s0x33b655f9dc0e0841:0xe3e3c70d06eb6a57!8m2!3d11.1469618!4d119.3989878!16s%2Fg%2F11q7p6ty9m!19sChIJQQgO3PlVtjMRV2rrBg3H4-M?authuser=0&hl=en&rclk=1
Atm,3.8,4,,,,https://www.euronetatms.ph/,11.1634,119.39879,https://www.google.com/maps/place/Atm/data=!4m7!3m6!1s0x33b65500677cb2ed:0x8ba0ef2dcff2f6b3!8m2!3d11.1634!4d119.39879!16s%2Fg%2F11lw0ldxj0!19sChIJ7bJ8ZwBVtjMRs_byzy3voIs?authuser=0&hl=en&rclk=1
Euronet ATM,1,1,,,,https://www.euronetatms.ph/,11.155722,119.398367,https://www.google.com/maps/place/Euronet+ATM/data=!4m7!3m6!1s0x33b655d223bf9bf1:0xf893170d2f91f0d5!8m2!3d11.155722!4d119.398367!16s%2Fg%2F11xvndn8k4!19sChIJ8Zu_I9JVtjMR1fCRLw0Xk_g?authuser=0&hl=en&rclk=1
BPI One El Nido Suites ATM,3.4,8,,,,https://www.bpi.com.ph/,11.1708608,119.3944048,https://www.google.com/maps/place/BPI+One+El+Nido+Suites+ATM/data=!4m7!3m6!1s0x33b6552db57a789d:0xdc1ecd3dbc7ecf4!8m2!3d11.1708608!4d119.3944048!16s%2Fg%2F11h18_3j66!19sChIJnXh6tS1VtjMR9OzH29PswQ0?authuser=0&hl=en&rclk=1
Euronet ATM,4,1,,,,https://www.euronetatms.ph/,11.167661,119.397139,https://www.google.com/maps/place/Euronet+ATM/data=!4m7!3m6!1s0x33b6558db9f9fda7:0xf9e1e33e98018905!8m2!3d11.167661!4d119.397139!16s%2Fg%2F11xt0jmz9q!19sChIJp_35uY1VtjMRBYkBmD7j4fk?authuser=0&hl=en&rclk=1
BPI El Nido Branch ATM,4.5,44,,,,https://www.bpi.com.ph/,11.1797242,119.3876416,https://www.google.com/maps/place/BPI+El+Nido+Branch+ATM/data=!4m7!3m6!1s0x33b65516608227f5:0xbf4767d8efcd5a9e!8m2!3d11.1797242!4d119.3876416!16s%2Fg%2F11gg68fy8f!19sChIJ9SeCYBZVtjMRnlrN79hnR78?authuser=0&hl=en&rclk=1
Euronet ATM,,,,,,https://www.euronetatms.ph/,11.1723683,119.3952387,https://www.google.com/maps/place/Euronet+ATM/data=!4m7!3m6!1s0x33b6551a73f87197:0x6b0cb55c7f405c65!8m2!3d11.1723683!4d119.3952387!16s%2Fg%2F11xvn80808!19sChIJl3H4cxpVtjMRZVxAf1y1DGs?authuser=0&hl=en&rclk=1
RCBC ATM - El Nido Palawan,4,2,,,8877 7222,https://www.rcbc.com/,11.1795429,119.3903562,https://www.google.com/maps/place/RCBC+ATM+-+El+Nido+Palawan/data=!4m7!3m6!1s0x33b70126baf220d9:0xf3d9d9fb6768122f!8m2!3d11.1795429!4d119.3903562!16s%2Fg%2F11p5j8pdnl!19sChIJ2SDyuiYBtzMRLxJoZ_vZ2fM?authuser=0&hl=en&rclk=1
Euronet ATM,5,1,,,,https://www.euronetatms.ph/,11.1787966,119.3897668,https://www.google.com/maps/place/Euronet+ATM/data=!4m7!3m6!1s0x33b655e7da57e795:0xbe2ca6dd9a98e3ca!8m2!3d11.1787966!4d119.3897668!16s%2Fg%2F11yjh7y06f!19sChIJledX2udVtjMRyuOYmt2mLL4?authuser=0&hl=en&rclk=1
Euronet ATM,5,1,,,5313 Etaws,https://www.euronetatms.ph/,11.1824481,119.3923442,https://www.google.com/maps/place/Euronet+ATM/data=!4m7!3m6!1s0x33b655e814a3d26d:0xf96c59719c96ee50!8m2!3d11.1824481!4d119.3923442!16s%2Fg%2F11xvndq04v!19sChIJbdKjFOhVtjMRUO6WnHFZbPk?authuser=0&hl=en&rclk=1
Ryan Money Exchange,5,10,,,10 Serena St,,11.1802849,119.3888203,https://www.google.com/maps/place/Ryan+Money+Exchange/data=!4m7!3m6!1s0x33b655006e993df7:0x84009587a1c4baf3!8m2!3d11.1802849!4d119.3888203!16s%2Fg%2F11yyf5tygg!19sChIJ9z2ZbgBVtjMR87rEoYeVAIQ?authuser=0&hl=en&rclk=1
Euronet ATM,1,1,,,,https://www.euronetatms.ph/,11.17718,119.39092,https://www.google.com/maps/place/Euronet+ATM/data=!4m7!3m6!1s0x33b655f0a82d8c67:0x1da4ea67f2a3b727!8m2!3d11.17718!4d119.39092!16s%2Fg%2F11xvn7qpmh!19sChIJZ4wtqPBVtjMRJ7ej8mfqpB0?authuser=0&hl=en&rclk=1
Euronet ATM,,,,,,https://www.euronetatms.ph/,11.1785713,119.3908708,https://www.google.com/maps/place/Euronet+ATM/data=!4m7!3m6!1s0x33b6551cbc411c95:0x3bdf913a5f83df62!8m2!3d11.1785713!4d119.3908708!16s%2Fg%2F11yjgxk4cz!19sChIJlRxBvBxVtjMRYt-DXzqR3zs?authuser=0&hl=en&rclk=1
ATM,3,2,,,,,11.1803,119.3896609,https://www.google.com/maps/place/ATM/data=!4m7!3m6!1s0x33b6552c49ecfdb3:0x1b57349dfdecb40!8m2!3d11.1803!4d119.3896609!16s%2Fg%2F11v9_x_74d!19sChIJs_3sSSxVtjMRQMve30lztQE?authuser=0&hl=en&rclk=1
Euronet ATM,1,1,,,,https://www.euronetatms.ph/,11.1781329,119.3899985,https://www.google.com/maps/place/Euronet+ATM/data=!4m7!3m6!1s0x33b655c2529bbd0d:0x9bdf988efd20acc1!8m2!3d11.1781329!4d119.3899985!16s%2Fg%2F11xvmj5zcd!19sChIJDb2bUsJVtjMRwawg_Y6Y35s?authuser=0&hl=en&rclk=1
Euronet ATM,,,,,,https://www.euronetatms.ph/,11.180235,119.3902628,https://www.google.com/maps/place/Euronet+ATM/data=!4m7!3m6!1s0x33b65559614e5a1d:0x1b4eac77e44a46ba!8m2!3d11.180235!4d119.3902628!16s%2Fg%2F11xvndp4nn!19sChIJHVpOYVlVtjMRukZK5HesThs?authuser=0&hl=en&rclk=1
Euronet ATM,,,,,,https://www.euronetatms.ph/,11.180295,119.389527,https://www.google.com/maps/place/Euronet+ATM/data=!4m7!3m6!1s0x33b6557f2bc10463:0x1504ef16cb8a2f06!8m2!3d11.180295!4d119.389527!16s%2Fg%2F11yjh7qgbs!19sChIJYwTBK39VtjMRBi-KyxbvBBU?authuser=0&hl=en&rclk=1
Euronet ATM,1,5,,,2 C,https://www.euronetatms.ph/,11.1807684,119.3908194,https://www.google.com/maps/place/Euronet+ATM/data=!4m7!3m6!1s0x33b655d1206030d9:0x9cca5b283af0ca4e!8m2!3d11.1807684!4d119.3908194!16s%2Fg%2F11xt0nmn5g!19sChIJ2TBgINFVtjMRTsrwOihbypw?authuser=0&hl=en&rclk=1
Euronet ATM,,,,,,https://www.euronetatms.ph/,11.179848,119.3891959,https://www.google.com/maps/place/Euronet+ATM/data=!4m7!3m6!1s0x33b655ff7cbda925:0xf5e80fce544c7aa4!8m2!3d11.179848!4d119.3891959!16s%2Fg%2F11yjgnd_2n!19sChIJJam9fP9VtjMRpHpMVM4P6PU?authuser=0&hl=en&rclk=1
ATM,1.8,5,,,,,11.1796647,119.388839,https://www.google.com/maps/place/ATM/data=!4m7!3m6!1s0x33b6551678abade1:0x2602dcdd97a3a874!8m2!3d11.1796647!4d119.388839!16s%2Fg%2F11cs5v4w2y!19sChIJ4a2reBZVtjMRdKijl93cAiY?authuser=0&hl=en&rclk=1
RCBC ATM - Lio Beach,2.6,8,,,8877 7222,https://www.rcbc.com/,11.2076962,119.41643,https://www.google.com/maps/place/RCBC+ATM+-+Lio+Beach/data=!4m7!3m6!1s0x33b7ab0ffbafcc29:0xf1c498a575397f7b!8m2!3d11.2076962!4d119.41643!16s%2Fg%2F11ry5g_lkh!19sChIJKcyv-w-rtzMRe385daWYxPE?authuser=0&hl=en&rclk=1
BPI Kalye Artisano El Nido ATM,2.5,2,,,,https://www.bpi.com.ph/,11.2056113,119.4189582,https://www.google.com/maps/place/BPI+Kalye+Artisano+El+Nido+ATM/data=!4m7!3m6!1s0x33b7ab7e355c2e65:0xca8082dbcbdfcedb!8m2!3d11.2056113!4d119.4189582!16s%2Fg%2F11fl0tz22l!19sChIJZS5cNX6rtzMR287fy9uCgMo?authuser=0&hl=en&rclk=1
BPI Seda Lio ATM,5,2,,,,https://www.bpi.com.ph/,11.211096,119.4186445,https://www.google.com/maps/place/BPI+Seda+Lio+ATM/data=!4m7!3m6!1s0x33b7ab304c3872a9:0xc3af21843276eeef!8m2!3d11.211096!4d119.4186445!16s%2Fg%2F11fmzs8s5b!19sChIJqXI4TDCrtzMR7-52MoQhr8M?authuser=0&hl=en&rclk=1
BPI Shops At Lio ATM,3.2,6,,,,https://www.bpi.com.ph/,11.2076943,119.4164119,https://www.google.com/maps/place/BPI+Shops+At+Lio+ATM/data=!4m7!3m6!1s0x3397c9579e978525:0x5ab853c82b743572!8m2!3d11.2076943!4d119.4164119!16s%2Fg%2F11g039yq8f!19sChIJJYWXnlfJlzMRcjV0K8hTuFo?authuser=0&hl=en&rclk=1
Euronet ATM,4,4,,,,https://www.euronetatms.ph/,11.2077304,119.4163995,https://www.google.com/maps/place/Euronet+ATM/data=!4m7!3m6!1s0x33b7ab6b0f737133:0xdbf64c2dcfcf30f6!8m2!3d11.2077304!4d119.4163995!16s%2Fg%2F11yjh4jkqw!19sChIJM3FzD2urtzMR9jDPzy1M9ts?authuser=0&hl=en&rclk=1
ATM,4.3,11,,,,,11.3352584,119.4607931,https://www.google.com/maps/place/ATM/data=!4m7!3m6!1s0x33b707005bc8034d:0x2cbc5ed2857cd89d!8m2!3d11.3352584!4d119.4607931!16s%2Fg%2F11vx4j04z4!19sChIJTQPIWwAHtzMRndh8hdJevCw?authuser=0&hl=en&rclk=1
ATM Euronet,,,,,,https://www.euronetatms.ph/,11.311404,119.419167,https://www.google.com/maps/place/ATM+Euronet/data=!4m7!3m6!1s0x33b70700099a1dfb:0x84c95383cec2b41d!8m2!3d11.311404!4d119.419167!16s%2Fg%2F11vwvk38b0!19sChIJ-x2aCQAHtzMRHbTCzoNTyYQ?authuser=0&hl=en&rclk=1
Euronet ATM,,,,,,https://www.euronetatms.ph/,11.313021,119.4223557,https://www.google.com/maps/place/Euronet+ATM/data=!4m7!3m6!1s0x33b7072f65391941:0x2ce2949c5704b77b!8m2!3d11.313021!4d119.4223557!16s%2Fg%2F11xvndnnjy!19sChIJQRk5ZS8HtzMRe7cEV5yU4iw?authuser=0&hl=en&rclk=1
Euronet ATM,,,,,,https://www.euronetatms.ph/,11.3080052,119.4205963,https://www.google.com/maps/place/Euronet+ATM/data=!4m7!3m6!1s0x33b7071c25a62d2f:0x22c54892054cce36!8m2!3d11.3080052!4d119.4205963!16s%2Fg%2F11yjgf2w5q!19sChIJLy2mJRwHtzMRNs5MBZJIxSI?authuser=0&hl=en&rclk=1
